new_cases_smooth,new_deaths_smooth,DNN Model Cases,DNN Model Deaths,RNN Model Cases,RNN Model Deaths
0.0,0.0,,,,
0.0,0.0,,,,
0.3333333333333333,0.0,,,,
0.25,0.0,,,,
0.8,0.0,,,,
0.6666666666666666,0.0,,,,
0.5714285714285714,0.0,,,,
0.7142857142857143,0.0,,,,
0.7142857142857143,0.0,,,,
0.8571428571428571,0.0,,,,
0.8571428571428571,0.0,,,,
0.42857142857142855,0.0,,,,
0.8571428571428571,0.0,,,,
0.8571428571428571,0.0,,,,
0.7142857142857143,0.0,,,,
0.8571428571428571,0.0,,,,
0.5714285714285714,0.0,,,,
0.5714285714285714,0.0,,,,
0.5714285714285714,0.0,,,,
0.14285714285714285,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.14285714285714285,0.0,,,,
0.14285714285714285,0.0,,,,
0.0,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.2857142857142857,0.0,,,,
0.42857142857142855,0.0,,,,
0.14285714285714285,0.0,,,,
1.2857142857142858,0.14285714285714285,,,,
2.2857142857142856,0.14285714285714285,,,,
5.571428571428571,0.8571428571428571,,,,
8.285714285714286,1.0,,,,
13.0,1.5714285714285714,,,,
23.857142857142858,1.7142857142857142,,,,
31.428571428571427,2.0,,,,
54.0,2.2857142857142856,,,,
69.57142857142857,2.857142857142857,,,,
77.0,2.2857142857142856,,,,
101.14285714285714,3.0,,,,
148.57142857142858,3.142857142857143,,,,
200.28571428571428,4.428571428571429,,,,
283.14285714285717,5.285714285714286,,,,
367.85714285714283,5.857142857142857,,,,
384.7142857142857,7.0,,,,
583.5714285714286,10.714285714285714,,,,
818.5714285714286,15.142857142857142,,,,
1146.0,23.0,,,,
1725.2857142857142,31.857142857142858,,,,
2544.4285714285716,45.857142857142854,,,,
3292.4285714285716,59.57142857142857,,,,
4526.571428571428,75.14285714285714,,,,
5922.428571428572,98.71428571428571,,,,
7177.571428571428,128.14285714285714,,,,
8524.0,167.14285714285714,,,,
10432.857142857143,216.85714285714286,,,,
12193.285714285714,276.2857142857143,,,,
